run_id,workload,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,cooldown_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p90_latency_ms,p97_5_latency_ms,p99_latency_ms,maximum_latency_ms,total_requests,bytes_per_second,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,warmup_error_log,autocannon_error_log,error_message
http_complex_s01_r04_deno_c100,complex,1,31,4,deno,100,1,10,30,10,10,20260807,2026-08-03T17:26:04.572371+00:00,2026-08-03T17:26:46.250374+00:00,success,17045.74,5.37,4,10,13,16,76,511358,3664896,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_deno_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c100-autocannon-error.log,
http_complex_s01_r04_bun_c010,complex,1,32,4,bun,10,1,10,30,10,10,20260807,2026-08-03T17:26:56.255109+00:00,2026-08-03T17:27:38.929310+00:00,success,14858.14,0.17,0,0,3,3,27,445730,3194077.87,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_bun_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c010-autocannon-error.log,
http_complex_s01_r04_node_c100,complex,1,33,4,node,100,1,10,30,10,10,20260807,2026-08-03T17:27:48.934671+00:00,2026-08-03T17:28:31.616474+00:00,success,11476.87,8.23,7,12,14,17,92,344293,3006856.54,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_node_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c100-autocannon-error.log,
http_complex_s01_r04_deno_c010,complex,1,34,4,deno,10,1,10,30,10,10,20260807,2026-08-03T17:28:41.624821+00:00,2026-08-03T17:29:24.228342+00:00,success,18107.87,0.07,0,0,1,1,35,543256,3893589.34,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_deno_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c010-autocannon-error.log,
http_complex_s01_r04_bun_c100,complex,1,35,4,bun,100,1,10,30,10,10,20260807,2026-08-03T17:29:34.234353+00:00,2026-08-03T17:30:15.882129+00:00,success,14877.34,6.25,6,9,11,13,72,446314,3198481.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_bun_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c100-autocannon-error.log,
http_complex_s01_r04_node_c010,complex,1,36,4,node,10,1,10,30,10,10,20260807,2026-08-03T17:30:25.887225+00:00,2026-08-03T17:31:07.499023+00:00,success,12316.6,0.2,0,1,1,1,28,369470,3226641.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_node_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c010-autocannon-error.log,
http_complex_s01_r05_bun_c010,complex,1,37,5,bun,10,1,10,30,10,10,20260808,2026-08-03T17:31:17.505013+00:00,2026-08-03T17:31:59.144708+00:00,success,15305.74,0.15,0,0,3,3,39,459138,3290197.34,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r05_bun_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c010-autocannon-error.log,
http_complex_s01_r05_bun_c100,complex,1,38,5,bun,100,1,10,30,10,10,20260808,2026-08-03T17:32:09.149674+00:00,2026-08-03T17:32:50.833453+00:00,success,15116,6.14,5,9,11,14,93,453454,3249766.4,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r05_bun_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_bun_c100-autocannon-error.log,
http_complex_s01_r05_deno_c050,complex,1,39,5,deno,50,1,10,30,10,10,20260808,2026-08-03T17:33:00.840263+00:00,2026-08-03T17:33:43.489112+00:00,success,18918,2.15,2,3,5,6,49,567536,4067362.14,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r05_deno_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r05_deno_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_deno_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_deno_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_deno_c050-autocannon-error.log,
http_complex_s01_r05_node_c050,complex,1,40,5,node,50,1,10,30,10,10,20260808,2026-08-03T17:33:53.496344+00:00,2026-08-03T17:34:35.262654+00:00,success,11863.8,3.66,3,5,7,8,54,355911,3108300.8,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r05_node_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r05_node_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_node_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_node_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r05_node_c050-autocannon-error.log,
