"run_id","session_id","sequence","repetition","runtime","shuffle_seed","started_at","finished_at","status","startup_time_ns","startup_time_ms","observed_output","program_file","stdout_log","stderr_log","error_message"
"cold_start_s01_r09_bun",1,26,9,"bun",20260813,"2026-08-04T17:47:21.861316+00:00","2026-08-04T17:47:22.074632+00:00","success",191674800,191.6748,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r09_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r09_bun-stderr.log",NA
"cold_start_s01_r09_node",1,27,9,"node",20260813,"2026-08-04T17:47:23.080521+00:00","2026-08-04T17:47:23.252608+00:00","success",151628800,151.6288,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r09_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r09_node-stderr.log",NA
"cold_start_s01_r10_node",1,28,10,"node",20260814,"2026-08-04T17:47:24.259542+00:00","2026-08-04T17:47:24.446286+00:00","success",165535700,165.5357,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r10_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r10_node-stderr.log",NA
"cold_start_s01_r10_bun",1,29,10,"bun",20260814,"2026-08-04T17:47:25.454133+00:00","2026-08-04T17:47:25.670767+00:00","success",199039700,199.0397,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r10_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r10_bun-stderr.log",NA
"cold_start_s01_r10_deno",1,30,10,"deno",20260814,"2026-08-04T17:47:26.677817+00:00","2026-08-04T17:47:26.844045+00:00","success",137956300,137.9563,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r10_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r10_deno-stderr.log",NA
"cold_start_s01_r11_bun",1,31,11,"bun",20260815,"2026-08-04T17:47:27.857079+00:00","2026-08-04T17:47:28.070051+00:00","success",191361900,191.3619,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r11_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r11_bun-stderr.log",NA
"cold_start_s01_r11_deno",1,32,11,"deno",20260815,"2026-08-04T17:47:29.076995+00:00","2026-08-04T17:47:29.255634+00:00","success",139483700,139.4837,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r11_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r11_deno-stderr.log",NA
"cold_start_s01_r11_node",1,33,11,"node",20260815,"2026-08-04T17:47:30.261812+00:00","2026-08-04T17:47:30.492595+00:00","success",208329400,208.3294,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r11_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r11_node-stderr.log",NA
"cold_start_s01_r12_node",1,34,12,"node",20260816,"2026-08-04T17:47:31.500638+00:00","2026-08-04T17:47:31.681734+00:00","success",162013700,162.0137,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r12_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r12_node-stderr.log",NA
"cold_start_s01_r12_bun",1,35,12,"bun",20260816,"2026-08-04T17:47:32.688887+00:00","2026-08-04T17:47:32.919054+00:00","success",209666700,209.6667,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r12_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r12_bun-stderr.log",NA
